CODE,TITLE,Type,CREDITS,SLOT,FACULTY,VENUE
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F1+TF1,ETHNUS (APT),AB3-103
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F1+TF1,FACE (APT),AB3-104
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F1+TF1,SIXPHRASE(APT),AB3-105
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F1+TF1,ETHNUS (APT),AB3-106
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F1+TF1,FACE (APT),AB3-107
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F1+TF1,SIXPHRASE(APT),AB3-108
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F1+TF1,ETHNUS (APT),AB3-109
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F1+TF1,FACE (APT),AB3-203
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F1+TF1,SIXPHRASE(APT),AB3-204
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F1+TF1,ETHNUS (APT),AB3-205
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F1+TF1,FACE (APT),AB3-206
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F1+TF1,SIXPHRASE(APT),AB3-207
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F2+TF2,ETHNUS (APT),AB3-103
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F2+TF2,FACE (APT),AB3-104
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F2+TF2,SIXPHRASE(APT),AB3-105
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F2+TF2,ETHNUS (APT),AB3-106
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F2+TF2,FACE (APT),AB3-107
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F2+TF2,SIXPHRASE(APT),AB3-108
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F2+TF2,ETHNUS (APT),AB3-109
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F2+TF2,FACE (APT),AB3-203
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F2+TF2,SIXPHRASE(APT),AB3-204
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F2+TF2,ETHNUS (APT),AB3-205
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F2+TF2,FACE (APT),AB3-206
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F2+TF2,SIXPHRASE(APT),AB3-207
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F2+TF2,ETHNUS (APT),AB3-208
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B1+TB1,FACE (APT),AB2-301
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B1+TB1,SIXPHRASE(APT),AB2-302
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B1+TB1,ETHNUS (APT),AB2-303
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B1+TB1,FACE (APT),AB1-402
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B1+TB1,SIXPHRASE(APT),AB1-408
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B2+TB2,ETHNUS (APT),AB2-301
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B2+TB2,FACE (APT),AB2-302
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B2+TB2,SIXPHRASE(APT),AB1-402
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B1+TB1,ETHNUS (APT),AB1-301
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B1+TB1,FACE (APT),AB1-302
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B1+TB1,SIXPHRASE(APT),AB1-308
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B1+TB1,ETHNUS (APT),AB1-309
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B1+TB1,FACE (APT),AB1-608
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B1+TB1,SIXPHRASE(APT),AB1-609
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B1+TB1,ETHNUS (APT),AB1-610
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B1+TB1,FACE (APT),AB4-514
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B2+TB2,SIXPHRASE(APT),AB1-301
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B2+TB2,ETHNUS (APT),AB1-302
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B2+TB2,FACE (APT),AB1-308
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B2+TB2,SIXPHRASE(APT),AB1-309
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B2+TB2,ETHNUS (APT),AB1-608
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B2+TB2,FACE (APT),AB1-609
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B1+TB1,ETHNUS (APT),AB1-702
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B1+TB1,FACE (APT),AB2-401
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B1+TB1,SIXPHRASE(APT),AB2-402
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B1+TB1,ETHNUS (APT),AB2-406
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B2+TB2,FACE (APT),AB2-401
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B2+TB2,SIXPHRASE(APT),AB2-402
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B1+TB1,ETHNUS (APT),ADB-702
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,E1+TE1,FACE (APT),AB3-208
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,E1+TE1,SIXPHRASE(APT),AB3-209
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,E1+TE1,ETHNUS (APT),AB3-211
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,E1+TE1,FACE (APT),AB3-303
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,E1+TE1,SIXPHRASE(APT),AB3-304
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,E1+TE1,ETHNUS (APT),AB3-305
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,E1+TE1,FACE (APT),AB3-306
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,E1+TE1,SIXPHRASE(APT),AB3-307
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,E1+TE1,ETHNUS (APT),AB3-308
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,E1+TE1,FACE (APT),AB3-309
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,E1+TE1,SIXPHRASE(APT),AB3-313
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,E1+TE1,ETHNUS (APT),AB3-403
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,E1+TE1,FACE (APT),AB3-404
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,E2+TE2,SIXPHRASE(APT),AB3-209
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,E2+TE2,ETHNUS (APT),AB3-211
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,E2+TE2,FACE (APT),AB3-303
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,E2+TE2,SIXPHRASE(APT),AB3-304
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,E2+TE2,ETHNUS (APT),AB3-305
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,E2+TE2,FACE (APT),AB3-306
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,E2+TE2,SIXPHRASE(APT),AB3-307
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,E2+TE2,ETHNUS (APT),AB3-308
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,E2+TE2,FACE (APT),AB3-309
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,E2+TE2,SIXPHRASE(APT),AB3-313
BASTS101,Qualitative and Quantitative Skills Practice I,SS,1,B2+TB2,ETHNUS (APT),AB2-406
BSTS301P,Advanced Competitive Coding - I,SS,1.5,D1+TD1,ETHNUS (APT),AB2-304
BSTS301P,Advanced Competitive Coding - I,SS,1.5,D1+TD1,FACE (APT),AB2-305
BSTS301P,Advanced Competitive Coding - I,SS,1.5,D1+TD1,ETHNUS (APT),AB2-306
BSTS301P,Advanced Competitive Coding - I,SS,1.5,D1+TD1,FACE (APT),AB1-409
BSTS301P,Advanced Competitive Coding - I,SS,1.5,D1+TD1,ETHNUS (APT),AB1-410
BSTS301P,Advanced Competitive Coding - I,SS,1.5,D2+TD2,FACE (APT),AB2-304
BSTS301P,Advanced Competitive Coding - I,SS,1.5,D2+TD2,ETHNUS (APT),AB2-305
BSTS301P,Advanced Competitive Coding - I,SS,1.5,D2+TD2,FACE (APT),AB1-409
BSTS301P,Advanced Competitive Coding - I,SS,1.5,D1+TD1,ETHNUS (APT),AB1-611
BSTS301P,Advanced Competitive Coding - I,SS,1.5,D1+TD1,FACE (APT),AB1-710
BSTS301P,Advanced Competitive Coding - I,SS,1.5,D1+TD1,ETHNUS (APT),AB1-711
BSTS301P,Advanced Competitive Coding - I,SS,1.5,D1+TD1,FACE (APT),AB1-801
BSTS301P,Advanced Competitive Coding - I,SS,1.5,D1+TD1,FACE (APT),AB1-802
BSTS301P,Advanced Competitive Coding - I,SS,1.5,D1+TD1,ETHNUS (APT),AB1-808
