0,1,2,3,4,5,6,7,8,9,10,11,12
COURSE CODECOUR,ECOURSE TITLE COUR,COURSLEE TCYTP,SLEE TCYTPUETRUET HO,EUTRUET HOORPIUARRLAS HC,ORPIUARRLAS HCOTPIUCRRAOSLJ,OTPIUCRRAOSLJ EHCCORTEU HDR,JEHCCORTEU HDRRIOSTOSUORM,RHDRIOSTOSUORMS NUMBBAETRC,MBBAETRCH SLOT,SLOT ERP I,ERP ID EMPL,EMPLOYEE NAME
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-1,AB3-103 BCE,BCE F1+TF,F1+TF1 SIXPH,SIXPHRASESIXPH,ESIXPHRASE(APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-1,AB3-104 BCE,BCE F1+TF,F1+TF1 FACE,FACE FACE,FACE (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-1,AB3-105 BCE,BCE F1+TF,F1+TF1 FACE,FACE FACE,FACE (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-1,AB3-106 BCE,BCE F1+TF,F1+TF1 ETHN,ETHNUS ETHN,ETHNUS (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-1,AB3-107 BCE,BCE F1+TF,F1+TF1 FACE,FACE FACE,FACE (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-1,AB3-108 BCE,BCE F1+TF,F1+TF1 SIXPH,SIXPHRASESIXPH,ESIXPHRASE(APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-1,AB3-109 BCE,BCE F1+TF,F1+TF1 ETHN,ETHNUS ETHN,ETHNUS (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-2,AB3-203 BCE,BCE F1+TF,F1+TF1 FACE,FACE FACE,FACE (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-2,AB3-204 BCE,BCE F1+TF,F1+TF1 SIXPH,SIXPHRASESIXPH,ESIXPHRASE(APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-2,AB3-205 BCE,BCE F1+TF,F1+TF1 ETHN,ETHNUS ETHN,ETHNUS (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-2,AB3-206 BCE,BCE F1+TF,F1+TF1 SIXPH,SIXPHRASESIXPH,ESIXPHRASE(APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-2,AB3-207 BCE,BCE F1+TF,F1+TF1 SIXPH,SIXPHRASESIXPH,ESIXPHRASE(APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-1,AB3-103 BCE,BCE F2+TF,F2+TF2 ETHN,ETHNUS ETHN,ETHNUS (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-1,AB3-104 BCE,BCE F2+TF,F2+TF2 FACE,FACE FACE,FACE (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-1,AB3-105 BCE,BCE F2+TF,F2+TF2 SIXPH,SIXPHRASESIXPH,ESIXPHRASE(APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-1,AB3-106 BCE,BCE F2+TF,F2+TF2 ETHN,ETHNUS ETHN,ETHNUS (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-1,AB3-107 BCE,BCE F2+TF,F2+TF2 FACE,FACE FACE,FACE (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-1,AB3-108 BCE,BCE F2+TF,F2+TF2 SIXPH,SIXPHRASESIXPH,ESIXPHRASE(APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-1,AB3-109 BCE,BCE F2+TF,F2+TF2 ETHN,ETHNUS ETHN,ETHNUS (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-2,AB3-203 BCE,BCE F2+TF,F2+TF2 FACE,FACE FACE,FACE (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-2,AB3-204 BCE,BCE F2+TF,F2+TF2 SIXPH,SIXPHRASESIXPH,ESIXPHRASE(APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-2,AB3-205 BCE,BCE F2+TF,F2+TF2 ETHN,ETHNUS ETHN,ETHNUS (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-2,AB3-206 BCE,BCE F2+TF,F2+TF2 FACE,FACE FACE,FACE (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-2,AB3-207 BCE,BCE F2+TF,F2+TF2 SIXPH,SIXPHRASESIXPH,ESIXPHRASE(APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-2,AB3-208 BCE,BCE F2+TF,F2+TF2 ETHN,ETHNUS ETHN,ETHNUS (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB2-3,AB2-301 SMEC,SMEC B1+T,B1+TB1 ETHN,ETHNUS ETHN,ETHNUS (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB2-3,AB2-302 SMEC,SMEC B1+T,B1+TB1 SIXPH,SIXPHRASESIXPH,ESIXPHRASE(APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB2-3,AB2-303 SMEC,SMEC B1+T,B1+TB1 ETHN,ETHNUS ETHN,ETHNUS (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB1-4,AB1-402 SMEC,SMEC B1+T,B1+TB1 FACE,FACE FACE,FACE (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB1-4,AB1-408 SMEC,SMEC B1+T,B1+TB1 SIXPH,SIXPHRASESIXPH,ESIXPHRASE(APT)
